ustt,utc,lon,lat,height
1339507860,1.69512383750013E+018,54506868,514128864,63900
1340007822,1.69512383800013E+018,54506068,514128719,63946
1340507823,1.69512383850013E+018,54505328,514128583,63840
1341007786,1.69512383900013E+018,54504663,514128456,63808
1341507786,1.69512383950013E+018,54504084,514128336,63708
1342007749,1.69512384000013E+018,54503583,514128181,63192
1342507750,1.69512384050013E+018,54503154,514128000,63218
1343007712,1.69512384100013E+018,54502808,514127758,63149
1343507713,1.69512384150014E+018,54502616,514127482,63287
1344007676,1.69512384200014E+018,54502497,514127176,63086
1344507676,1.69512384250014E+018,54502489,514126859,62903
1345007639,1.69512384300014E+018,54502566,514126542,62823
1345507640,1.69512384350014E+018,54502681,514126236,62912
1346007602,1.69512384400014E+018,54502808,514125938,62932
1346507603,1.69512384450014E+018,54502942,514125637,62952
1347007566,1.69512384500014E+018,54503077,514125331,62960
1347507567,1.69512384550014E+018,54503221,514125028,62942
1348007529,1.69512384600014E+018,54503373,514124719,63126
1348507530,1.69512384650014E+018,54503525,514124378,63074
1349007493,1.69512384700014E+018,54503684,514124027,63081
1349507493,1.69512384750014E+018,54503854,514123653,62983
1350007456,1.69512384800014E+018,54504023,514123253,62966
1350507457,1.69512384850015E+018,54504206,514122837,62940
1351007419,1.69512384900015E+018,54504386,514122407,62939
1351507420,1.69512384950015E+018,54504587,514121957,62868
1352007383,1.69512385000015E+018,54504795,514121493,62802
1352507383,1.69512385050015E+018,54504996,514121011,62838
1353007346,1.69512385100015E+018,54505202,514120515,62789
1353507347,1.69512385150015E+018,54505401,514120007,62691
1354007309,1.69512385200015E+018,54505608,514119486,62727
1354507310,1.69512385250015E+018,54505809,514118955,62650
1355007273,1.69512385300015E+018,54506029,514118421,62681
1355507273,1.69512385350015E+018,54506256,514117879,62555
1356007236,1.69512385400015E+018,54506500,514117333,62412
1356507237,1.69512385450015E+018,54506748,514116786,62561
1357007199,1.69512385500015E+018,54506990,514116242,62905
1357507200,1.69512385550015E+018,54507249,514115680,62915
1358007163,1.69512385600016E+018,54507508,514115123,62946
1358507163,1.69512385650016E+018,54507764,514114559,62943
1359007126,1.69512385700016E+018,54508020,514113992,62990
1359507127,1.69512385750016E+018,54508274,514113423,63006
1360007089,1.69512385800016E+018,54508516,514112849,63038
1360507090,1.69512385850016E+018,54508771,514112275,62913
1361007053,1.69512385900016E+018,54509039,514111698,62734
1361507053,1.69512385950016E+018,54509292,514111133,62734
1362007016,1.69512386000016E+018,54509539,514110570,62717
1362507017,1.69512386050016E+018,54509795,514110010,62699
1363006980,1.69512386100016E+018,54510047,514109480,62940
1363506980,1.69512386150016E+018,54510286,514108953,63034
1364006943,1.69512386200016E+018,54510527,514108425,63066
1364506944,1.69512386250016E+018,54510755,514107921,63168
1365006906,1.69512386300016E+018,54510973,514107430,63304
1365506907,1.69512386350017E+018,54511179,514106950,63421
1366006870,1.69512386400017E+018,54511382,514106462,63443
1366506870,1.69512386450017E+018,54511598,514105981,63551
1367006833,1.69512386500017E+018,54511825,514105500,63724
1367506834,1.69512386550017E+018,54512056,514105011,63712
1368006796,1.69512386600017E+018,54512285,514104515,63672
1368506797,1.69512386650017E+018,54512518,514104019,63754
1369006760,1.69512386700017E+018,54512753,514103521,63878
1369506760,1.69512386750017E+018,54512983,514103007,63848
1370006723,1.69512386800017E+018,54513211,514102492,63779
1370506724,1.69512386850017E+018,54513438,514101984,63895
1371006686,1.69512386900017E+018,54513669,514101456,63806
1371506687,1.69512386950017E+018,54513895,514100942,63907
1372006650,1.69512387000017E+018,54514114,514100438,64004
1372506651,1.69512387050018E+018,54514340,514099929,63979
1373006613,1.69512387100018E+018,54514557,514099433,64011
1373506614,1.69512387150018E+018,54514776,514098948,64106
1374006576,1.69512387200018E+018,54515001,514098461,63905
1374506576,1.69512387250018E+018,54515209,514097991,63894
1375006539,1.69512387300018E+018,54515400,514097534,63925
1375506540,1.69512387350018E+018,54515566,514097082,63879
1376006502,1.69512387400018E+018,54515691,514096638,63922
1376506503,1.69512387450018E+018,54515759,514096185,63811
1377006466,1.69512387500018E+018,54515760,514095733,63734
1377506466,1.69512387550018E+018,54515691,514095287,63807
1378006429,1.69512387600018E+018,54515557,514094846,63833
1378506430,1.69512387650018E+018,54515350,514094426,63984
1379006392,1.69512387700018E+018,54515087,514094020,63959
1379506393,1.69512387750018E+018,54514765,514093635,63916
1380006356,1.69512387800019E+018,54514391,514093266,63859
1380506357,1.69512387850019E+018,54513995,514092907,63878
1381006319,1.69512387900019E+018,54513634,514092533,63858
1381506320,1.69512387950019E+018,54513356,514092139,63800
1382006283,1.69512388000019E+018,54513197,514091729,63826
1382506283,1.69512388050019E+018,54513163,514091308,63804
1383006246,1.69512388100019E+018,54513216,514090886,63641
1383506247,1.69512388150019E+018,54513327,514090463,63521
1384006209,1.69512388200019E+018,54513465,514090032,63491
1384506210,1.69512388250019E+018,54513579,514089591,63549
1385006173,1.69512388300019E+018,54513621,514089148,63309
1385506173,1.69512388350019E+018,54513559,514088710,63610
1386006136,1.69512388400019E+018,54513357,514088279,63625
1386506137,1.69512388450019E+018,54513024,514087877,63520
1387006100,1.69512388500019E+018,54512579,514087532,63539
1387506100,1.6951238855002E+018,54512029,514087235,63698
1388006063,1.6951238860002E+018,54511367,514086972,63484
1388506064,1.6951238865002E+018,54510651,514086735,63370
1389006026,1.6951238870002E+018,54509896,514086500,63251
1389506027,1.6951238875002E+018,54509110,514086260,63104
1390005990,1.6951238880002E+018,54508285,514086010,63007
1390505990,1.6951238885002E+018,54507451,514085739,63300
1391005953,1.6951238890002E+018,54506602,514085473,63516
1391505954,1.6951238895002E+018,54505743,514085200,63643
1392005916,1.6951238900002E+018,54504873,514084924,63846
1392505917,1.6951238905002E+018,54503980,514084644,63895
1393005880,1.6951238910002E+018,54503076,514084359,64022
1393505881,1.6951238915002E+018,54502160,514084079,64140
1394005843,1.6951238920002E+018,54501222,514083816,64113
1394505844,1.69512389250021E+018,54500295,514083550,64088
1395005806,1.69512389300021E+018,54499375,514083270,64010
1395505806,1.69512389350021E+018,54498470,514082993,63912
1396005769,1.69512389400021E+018,54497571,514082722,63762
1396505770,1.69512389450021E+018,54496679,514082451,63782
1397005732,1.69512389500021E+018,54495799,514082182,63770
1397505733,1.69512389550021E+018,54494928,514081904,63611
1398005696,1.69512389600021E+018,54494054,514081640,63699
1398505696,1.69512389650021E+018,54493194,514081390,63900
1399005659,1.69512389700021E+018,54492365,514081142,64111
1399505660,1.69512389750021E+018,54491559,514080889,64448
1400005623,1.69512389800021E+018,54490804,514080612,64681
1400505623,1.69512389850021E+018,54490109,514080299,64847
1401005586,1.69512389900021E+018,54489490,514079949,65002
1401505587,1.69512389950022E+018,54488959,514079565,65127
1402005549,1.69512390000022E+018,54488530,514079144,65353
1402505550,1.69512390050022E+018,54488198,514078699,65552
1403005513,1.69512390100022E+018,54487972,514078239,65906
1403505513,1.69512390150022E+018,54487862,514077760,66268
1404005476,1.69512390200022E+018,54487857,514077296,66771
1404505477,1.69512390250022E+018,54487975,514076827,66994
1405005440,1.69512390300022E+018,54488195,514076349,67160
1405505440,1.69512390350022E+018,54488490,514075868,67420
1406005403,1.69512390400022E+018,54488833,514075369,67412
1406505404,1.69512390450022E+018,54489198,514074870,67539
1407005366,1.69512390500022E+018,54489582,514074360,67731
1407505367,1.69512390550022E+018,54489980,514073842,67760
1408005330,1.69512390600022E+018,54490380,514073325,67816
1408505330,1.69512390650022E+018,54490777,514072812,67799
1409005293,1.69512390700023E+018,54491173,514072304,67749
1409505294,1.69512390750023E+018,54491562,514071812,67812
1410005257,1.69512390800023E+018,54491923,514071341,67832
1410505257,1.69512390850023E+018,54492251,514070900,67880
1411005219,1.69512390900023E+018,54492537,514070493,67846
1411505220,1.69512390950023E+018,54492782,514070132,67815
1412005182,1.69512391000023E+018,54492989,514069822,67859
1412505183,1.69512391050023E+018,54493168,514069548,67872
1413005146,1.69512391100023E+018,54493325,514069298,67888
1413505146,1.69512391150023E+018,54493450,514069067,67897
1414005109,1.69512391200023E+018,54493531,514068844,67969
1414505110,1.69512391250023E+018,54493555,514068615,68065
1415005073,1.69512391300023E+018,54493510,514068366,68160
1415505073,1.69512391350023E+018,54493394,514068108,68222
1416005036,1.69512391400024E+018,54493225,514067843,68282
1416505037,1.69512391450024E+018,54493042,514067564,68320
1417004999,1.69512391500024E+018,54492877,514067267,68337
1417505000,1.69512391550024E+018,54492756,514066954,68338
1418004963,1.69512391600024E+018,54492700,514066627,68356
1418504963,1.69512391650024E+018,54492722,514066292,68377
1419004926,1.69512391700024E+018,54492831,514065959,68434
1419504927,1.69512391750024E+018,54493032,514065636,68510
1420004890,1.69512391800024E+018,54493316,514065328,68520
1420504890,1.69512391850024E+018,54493684,514065058,68591
1421004853,1.69512391900024E+018,54494128,514064840,68651
1421504854,1.69512391950024E+018,54494626,514064681,68665
1422004816,1.69512392000024E+018,54495155,514064563,68638
1422504817,1.69512392050024E+018,54495695,514064453,68645
1423004780,1.69512392100025E+018,54496234,514064321,68648
1423504781,1.69512392150025E+018,54496745,514064142,68585
1424004742,1.69512392200025E+018,54497200,514063905,68545
1424504743,1.69512392250025E+018,54497571,514063604,68488
